freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.264e+03,9.695e+02,5.718e+03,8.952e+03
1.6,1.445e+04,4.905e+03,2.712e+04,4.647e+04
3.3,1.671e+04,5.291e+03,3.310e+04,5.510e+04
4.9,1.756e+04,6.199e+03,4.538e+04,6.914e+04
6.5,1.673e+04,6.404e+03,4.098e+04,6.411e+04
8.2,1.850e+04,4.937e+03,4.796e+04,7.139e+04
9.8,2.126e+04,5.461e+03,6.364e+04,9.036e+04
11.4,1.864e+04,6.091e+03,7.430e+04,9.903e+04
13.1,2.466e+04,5.482e+03,6.186e+04,9.201e+04
14.7,2.436e+04,5.813e+03,6.088e+04,9.105e+04
16.4,2.292e+04,8.109e+03,9.826e+04,1.293e+05
18.0,2.322e+04,8.622e+03,1.002e+05,1.320e+05
19.6,2.131e+04,6.310e+03,7.209e+04,9.971e+04
21.3,2.209e+04,5.826e+03,5.389e+04,8.181e+04
22.9,2.620e+04,7.092e+03,4.050e+04,7.380e+04
24.5,2.608e+04,6.717e+03,4.135e+04,7.415e+04
26.2,2.903e+04,6.827e+03,3.582e+04,7.168e+04
27.8,2.735e+04,7.600e+03,3.300e+04,6.796e+04
29.4,2.109e+04,8.226e+03,4.036e+04,6.968e+04
31.1,2.026e+04,7.422e+03,3.584e+04,6.353e+04
32.7,2.554e+04,9.441e+03,3.827e+04,7.326e+04
34.3,3.178e+04,9.049e+03,4.071e+04,8.154e+04
36.0,3.982e+04,9.454e+03,4.275e+04,9.202e+04
37.6,3.191e+04,8.304e+03,4.196e+04,8.218e+04
39.2,3.122e+04,8.568e+03,5.204e+04,9.182e+04
40.9,3.884e+04,1.009e+04,4.600e+04,9.493e+04
42.5,3.116e+04,9.762e+03,4.679e+04,8.771e+04
44.1,3.453e+04,9.072e+03,5.342e+04,9.702e+04
45.8,4.257e+04,8.603e+03,5.184e+04,1.030e+05
47.4,4.291e+04,8.602e+03,4.933e+04,1.008e+05
49.1,4.475e+04,9.716e+03,5.723e+04,1.117e+05
50.7,5.337e+04,1.011e+04,7.697e+04,1.404e+05
52.3,5.197e+04,1.129e+04,5.515e+04,1.184e+05
54.0,4.908e+04,1.106e+04,8.428e+04,1.444e+05
55.6,5.223e+04,1.303e+04,1.099e+05,1.751e+05
57.2,4.688e+04,1.471e+04,8.468e+04,1.463e+05
58.9,4.270e+04,1.318e+04,7.917e+04,1.351e+05
60.5,4.597e+04,1.254e+04,4.993e+04,1.084e+05
62.1,3.572e+04,1.430e+04,5.680e+04,1.068e+05
63.8,3.357e+04,1.478e+04,5.883e+04,1.072e+05
65.4,4.191e+04,1.484e+04,4.601e+04,1.028e+05
67.0,4.353e+04,1.741e+04,8.111e+04,1.421e+05
68.7,4.674e+04,2.109e+04,6.395e+04,1.318e+05
70.3,4.184e+04,1.501e+04,6.160e+04,1.185e+05
71.9,4.555e+04,1.357e+04,6.057e+04,1.197e+05
73.6,4.405e+04,1.545e+04,5.076e+04,1.103e+05
75.2,4.730e+04,1.559e+04,4.820e+04,1.111e+05
76.8,5.289e+04,1.804e+04,6.070e+04,1.316e+05
78.5,5.083e+04,2.403e+04,7.518e+04,1.500e+05
80.1,4.225e+04,2.530e+04,5.592e+04,1.235e+05
81.8,3.899e+04,2.421e+04,3.984e+04,1.030e+05
83.4,4.466e+04,2.066e+04,3.037e+04,9.569e+04
85.0,3.869e+04,2.297e+04,2.432e+04,8.598e+04
86.7,4.006e+04,3.121e+04,3.288e+04,1.042e+05
88.3,3.158e+04,2.779e+04,3.679e+04,9.616e+04
89.9,3.306e+04,2.639e+04,2.820e+04,8.764e+04
91.6,4.054e+04,2.885e+04,2.980e+04,9.920e+04
93.2,3.684e+04,2.724e+04,3.659e+04,1.007e+05
94.8,2.841e+04,2.224e+04,2.988e+04,8.053e+04
96.5,2.827e+04,2.202e+04,2.818e+04,7.847e+04
98.1,3.918e+04,2.658e+04,2.638e+04,9.214e+04
99.7,4.253e+04,2.462e+04,3.749e+04,1.046e+05
101.4,3.981e+04,2.039e+04,3.653e+04,9.673e+04
103.0,3.651e+04,2.495e+04,3.074e+04,9.220e+04
104.6,3.993e+04,3.062e+04,2.830e+04,9.885e+04
106.3,4.061e+04,3.167e+04,2.419e+04,9.646e+04
107.9,3.682e+04,2.521e+04,3.644e+04,9.848e+04
109.5,2.881e+04,3.245e+04,4.342e+04,1.047e+05
111.2,2.197e+04,2.418e+04,3.591e+04,8.205e+04
112.8,3.025e+04,2.321e+04,2.885e+04,8.231e+04
114.5,2.955e+04,2.275e+04,2.887e+04,8.117e+04
116.1,2.194e+04,2.822e+04,3.201e+04,8.217e+04
117.7,1.953e+04,3.272e+04,3.184e+04,8.410e+04
119.4,1.945e+04,2.983e+04,3.445e+04,8.373e+04
121.0,2.075e+04,2.438e+04,3.551e+04,8.065e+04
122.6,2.109e+04,2.737e+04,3.443e+04,8.289e+04
124.3,3.178e+04,2.707e+04,2.803e+04,8.688e+04
125.9,2.463e+04,2.730e+04,2.487e+04,7.681e+04
127.5,1.975e+04,2.709e+04,3.108e+04,7.792e+04
129.2,1.448e+04,3.287e+04,3.265e+04,8.000e+04
130.8,2.382e+04,5.180e+04,3.110e+04,1.067e+05
132.4,2.891e+04,5.391e+04,2.910e+04,1.119e+05
134.1,3.138e+04,4.740e+04,2.984e+04,1.086e+05
135.7,3.158e+04,4.298e+04,2.313e+04,9.769e+04
137.3,2.308e+04,4.483e+04,2.333e+04,9.124e+04
139.0,2.496e+04,4.165e+04,2.024e+04,8.685e+04
